$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
9.1,11.1,-3.8,-1.7999999999999998,0.109
13.2,15.2,-0.8,1.2,0.085
12.6,14.6,-1.3,0.7,0.109
1.6,3.6,-2.0,0.0,0.182
11.8,13.8,-1.8,0.19999999999999996,0.085
5.1,7.1,0.5,2.5,0.14
0.8,2.8,-2.5,-0.5,0.2
14.1,16.1,-0.3,1.7,0.091
10.5,12.5,-2.8,-0.7999999999999998,0.109
15.4,17.4,0.7,2.7,0.109
-0.6,1.4,-3.5,-1.5,0.283
14.7,16.7,0.2,2.2,0.109
3.0,5.0,-1.0,1.0,0.143
3.6,5.6,-0.5,1.5,0.164
0.2,2.2,-3.0,-1.0,0.211
4.3,6.3,0.0,2.0,0.139
13.3,15.3,-0.8,1.2,0.109
-1.3,0.7,-4.0,-2.0,0.285
2.3,4.3,-1.5,0.5,0.151
9.8,11.8,-3.3,-1.2999999999999998,0.109
0.9,2.9,-2.5,-0.5,0.188
9.2,11.2,-3.8,-1.7999999999999998,0.091
11.3,13.3,-2.3,-0.2999999999999998,0.091
5.2,7.2,0.5,2.5,0.129
12.7,14.7,-1.3,0.7,0.091
1.7,3.7,-2.0,0.0,0.165
15.5,17.5,0.7,2.7,0.091
14.2,16.2,-0.3,1.7,0.085
-0.5,1.5,-3.5,-1.5,0.258
11.9,13.9,-1.8,0.19999999999999996,0.109
10.6,12.6,-2.8,-0.7999999999999998,0.091
3.7,5.7,-0.5,1.5,0.136
14.8,16.8,0.2,2.2,0.091
3.1,5.1,-1.0,1.0,0.137
0.3,2.3,-3.0,-1.0,0.223
4.4,6.4,0.0,2.0,0.138
13.4,15.4,-0.8,1.2,0.091
-1.2,0.8,-4.0,-2.0,0.282
9.9,11.9,-3.3,-1.2999999999999998,0.091
9.3,11.3,-3.8,-1.7999999999999998,0.085
2.4,4.4,-1.5,0.5,0.163
15.6,17.6,0.7,2.7,0.085
11.4,13.4,-2.3,-0.2999999999999998,0.085
